comments,duration,event,languages,name,published_date,views
4553,1164,TED2006,60,Ken Robinson: Do schools kill creativity?,1151367060,47227110
265,977,TED2006,43,Al Gore: Averting the climate crisis,1151367060,3200520
124,1286,TED2006,26,David Pogue: Simplicity sells,1151367060,1636292
200,1116,TED2006,35,Majora Carter: Greening the ghetto,1151367060,1697550
593,1190,TED2006,48,Hans Rosling: The best stats you've ever seen,1151440680,12005869
672,1305,TED2006,36,Tony Robbins: Why we do what we do,1151440680,20685401
919,992,TED2006,31,Julia Sweeney: Letting go of God,1152490260,3769987
46,1198,TED2006,19,Joshua Prince-Ramus: Behind the design of Seattle's library,1152490260,967741
852,1485,TED2006,32,Dan Dennett: Let's teach religion -- all religion -- in schools,1153181460,2567958
900,1262,TED2006,31,Rick Warren: A life of purpose,1153181460,3095993
79,1414,TED2006,27,Cameron Sinclair: My wish: A call for open-source architecture,1153786260,1211416
55,1538,TED2006,20,Jehane Noujaim: My wish: A global day of film,1153786260,387877
71,1550,TED2006,24,Larry Brilliant: My wish: Help me stop pandemics,1153786260,693341
242,527,TED2006,27,Jeff Han: The radical promise of the multi-touch interface,1154391060,4531020
99,1057,TED2006,25,Nicholas Negroponte: One Laptop per Child,1154391060,358304
325,1481,TED2006,31,Sirena Huang: An 11-year-old's magical violin,1154995860,2702470
305,1445,TED2004,32,"Jennifer Lin: Improvising on piano, aged 14",1154995860,1628912
88,906,TED2006,27,Amy Smith: Simple designs to save a life,1155600660,1415724
163,1170,TED2005,22,"Ross Lovegrove: Organic design, inspired by nature",1155600660,1074081
84,1201,TEDGlobal 2005,32,Jimmy Wales: The birth of Wikipedia,1156119060,1106561
108,1114,TED2006,27,Richard Baraniuk: The birth of the open-source learning revolution,1156119060,966439
185,1136,TED2004,26,Ze Frank: Nerdcore comedy,1156464660,6141440
50,1006,TED2006,20,Mena Trott: Meet the founder of the blog revolution,1156464660,518624
556,1407,TED2006,33,"Helen Fisher: Why we love, why we cheat",1157501460,9260764
117,1225,TED2004,23,Eve Ensler: Happiness in body and soul,1157501460,1131864
184,1140,TEDGlobal 2005,29,David Deutsch: Chemical scum that dream of distant quasars,1158019860,1096862
507,1316,TEDGlobal 2005,36,Richard Dawkins: Why the universe seems so strange,1158019860,2885999
95,1275,TED2004,25,Steven Levitt: The freakonomics of crack dealing,1158624660,2863214
355,1050,TED2004,37,"Malcolm Gladwell: Choice, happiness and spaghetti sauce",1158624660,7023562
970,1276,TED2004,43,Dan Gilbert: The surprising science of happiness,1159229460,14689301
991,1177,TEDGlobal 2005,45,Barry Schwartz: The paradox of choice,1159229460,10000702
213,1129,TED2005,26,Eva Vertes: Meet the future of cancer research,1159747860,1030267
612,1365,TEDGlobal 2005,29,Aubrey de Grey: A roadmap to end aging,1159747860,3277740
74,952,TEDGlobal 2005,21,Iqbal Quadir: How mobile phones can fight poverty,1160439060,503517
58,773,TEDGlobal 2005,26,Jacqueline Novogratz: Invest in Africa's own solutions,1160439060,705389
43,1080,TEDGlobal 2005,21,Sasa Vucinic: Why we should invest in a free press,1161130260,580891
67,1125,TEDGlobal 2005,24,Ashraf Ghani: How to rebuild a broken state,1161130260,809226
186,1177,TED2006,28,Burt Rutan: The real future of space exploration,1161735060,2028451
57,1083,TED2005,26,Ben Saunders: Why did I ski to the North Pole?,1161735060,745231
112,1672,TED2005,24,Bono: My wish: Three actions for Africa,1162253460,718649
58,2065,TED2005,22,Edward Burtynsky: My wish: Manufactured landscapes and green education,1162253460,975107
33,1609,TED2005,20,Robert Fischell: My wish: Three unusual medical inventions,1162253460,382996
105,1280,TEDGlobal 2005,20,Peter Donnelly: How juries are fooled by statistics,1162944660,1053758
494,805,TED2006,41,Michael Shermer: Why people believe weird things,1162944660,5364639
233,1376,TED2005,22,Ray Kurzweil: The accelerating power of technology,1163463060,2434344
149,1200,TED2005,26,Kevin Kelly: How technology evolves,1163463060,1536873
52,848,TED2006,24,Peter Gabriel: Fight injustice with raw video,1165363860,904215
578,210,TED2005,66,Richard St. John: 8 secrets of success,1166055060,10841210
95,247,TEDSalon 2006,34,Rives: If I controlled the Internet,1166055060,1813665
199,198,TED2006,48,Dean Ornish: The killer American diet that's sweeping the planet,1166055060,2299265
85,843,TEDGlobal 2005,22,Robert Neuwirth: The hidden world of shadow cities,1167696660,673036
499,1001,TED2005,32,Bjorn Lomborg: Global priorities bigger than climate change,1167696660,1391142
371,1321,TED2003,36,Wade Davis: Dreams from endangered cultures,1168301460,2532851
59,1115,TED2006,29,Phil Borges: Photos of endangered cultures,1168301460,882034
203,1046,TEDGlobal 2005,29,Martin Rees: Is this our final century?,1168992660,2121177
130,1151,TED2006,23,Robert Wright: Progress is not a zero-sum game,1168992660,1090180
47,603,TEDSalon 2006,29,"Steven Johnson: How the ""ghost map"" helped end a killer disease",1170202260,684519
91,1141,TEDGlobal 2005,24,Charles Leadbeater: The era of open innovation,1170202260,1409327
222,825,TED2005,0,"Pilobolus: A dance of ""Symbiosis""",1170979860,3051507
111,1385,TED2005,19,Anna Deavere Smith: Four American characters,1170979860,978825
28,869,TED2006,18,Saul Griffith: Everyday inventions,1171843860,442553
64,1038,TED2006,17,Neil Gershenfeld: Unleash your creativity in a Fab Lab,1171843860,691814
226,1155,TEDGlobal 2005,30,Carl Honoré: In praise of slowness,1172621460,2441805
97,1447,TED2007,26,Bill Clinton: My wish: Rebuilding Rwanda,1175559060,849859
89,1355,TED2007,26,E.O. Wilson: My wish: Build the Encyclopedia of Life,1175559060,1335732
107,1316,TED2007,23,James Nachtwey: My wish: Let my photographs bear witness,1175559060,1262674
161,1645,TED2002,31,Jane Goodall: What separates us from chimpanzees?,1175731860,1663001
220,1021,TED2003,31,Seth Godin: How to get your ideas to spread,1175731860,5570544
114,1211,TED2005,28,James Watson: How we discovered DNA,1175731860,1520908
88,873,TED2004,31,Al Seckel: Visual illusions that show how we (mis)think,1175731860,2138907
130,1207,TED2002,18,Dean Kamen: To invent is to give,1175731860,680134
49,1340,TED2003,20,Juan Enriquez: The life code that will reshape the future,1175731860,690928
86,930,TED2004,26,Stefan Sagmeister: Happiness by design,1175731860,1762302
107,1054,TEDGlobal 2005,32,Alex Steffen: The route to a sustainable future,1175731860,1392010
50,1240,TED2005,16,Thom Mayne: How architecture can connect us,1175731860,660909
78,1204,TED2002,23,Chris Bangle: Great cars are great art,1175731860,867495
