name,lat,lng,city,country,meanviews,numtalks
Aparna Rao,28.6138954,77.2090057,New Delhi,India,920438,2
Arianna Huffington,37.9755648,23.7348324,Athens,Greece,4241096,1
Ariel Garten,43.6534817,-79.3839347,Old Toronto,Canada,399314,1
Arthur Brooks,52.4142766,1.6663769,East Suffolk,United Kingdom,1132964,1
Arthur Ganson,41.764582,-72.6908547,Hartford,United States,672113,1
Arunachalam Muruganantham,11.0018115,76.9628425,Coimbatore,India,1115222,1
Arvind Gupta,31.3323762,75.576889,Jalandhar,India,1367702,1
Ashley Judd,34.2661558,-118.5174342,Los Angeles,United States,1422701,1
Astro Teller,52.2055314,0.1186637,Cambridge,United Kingdom,2300106,1
Atul Gawande,40.7127281,-74.0060152,New York,United States,1654299,1
Aubrey de Grey,51.4893335,-0.1440550845276872,London,United Kingdom,3277740,1
Auke Ijspeert,46.2047169,6.1423106290939335,Geneva,Switzerland,1805637,1
Avi Reichental,30.8124247,34.8594762,Ramat Negev Regional Council,Israel,2526255,1
Ayah Bdeir,45.5031824,-73.5698065,Montreal,Canada,1168080,1
Aziz Abu Sarah,31.7731513,35.259589,al-Eizariya,Palestine,1301734,1
Aziza Chaouni,34.0346534,-5.0161926,Fez,Morocco,668555,1
BLACK,53.4071991,-2.99168,Liverpool,United Kingdom,7373875,1
Bahia Shehab,33.88922645,35.50255852895232,Basta Tahta,Lebanon,1024326,1
Barry Schuler,40.7215682,-74.047455,Jersey City,United States,389420,1
Barry Schwartz,39.9527237,-75.1635262,Philadelphia,United States,4195070,4
Beardyman,51.5074456,-0.1277653,City of Westminster,United Kingdom,2067955,1
Beeban Kidron,41.332052,19.8048247,Tirana,Albania,765840,1
Bel Pesce,-23.5506507,-46.6333824,São Paulo,Brazil,4728000,1
Ben Cameron,39.7683331,-86.1583502,Indianapolis,United States,497710,1
Ben Goldacre,51.4893335,-0.1440550845276872,London,United Kingdom,2216226,2
Ben Katchor,40.7127281,-74.0060152,New York,United States,294396,1
Ben Saunders,26.1223084,-80.1433786,Fort Lauderdale,United States,1191722,3
Benjamin Barber,40.7127281,-74.0060152,New York,United States,719821,1
Benoit Mandelbrot,52.2337172,21.071432235636493,Warsaw,Poland,1212079,1
Bernie Krause,42.3315509,-83.0466403,Detroit,United States,1022050,1
Bertrand Piccard,46.5218269,6.6327025,Lausanne,Switzerland,778978,1
Beth Noveck,39.9526791,-74.1968257,Toms River,United States,516355,1
Bettina Warburg,53.5672881,9.941726150411604,Hamburg,Germany,1985742,1
Bill Ford,42.3315509,-83.0466403,Detroit,United States,800056,1
Bill Gates,47.6038321,-122.330062,Seattle,United States,2655083,5
Bill Joy,32.5135356,-93.7477839,Shreveport,United States,487378,1
Bill Strickland,40.4416941,-79.9900861,Pittsburgh,United States,611092,1
Bill and Melinda Gates,47.6038321,-122.330062,Seattle,United States,3130752,1
Billie Jean King,33.7690164,-118.191604,Long Beach,United States,947562,1
Billy Collins,40.7896239,-73.9598939,New York,United States,1342832,2
Billy Graham,35.2272086,-80.8430827,Charlotte,United States,1532675,1
Bjarke Ingels,55.6867243,12.5700724,Copenhagen,Denmark,1276199,2
Blaise Agüera y Arcas,41.8239891,-71.4128343,Providence,United States,2634735,3
Bob Mankoff,40.8466508,-73.8785937,New York,United States,1168185,1
Bobby McFerrin,40.7127281,-74.0060152,New York,United States,3302312,1
Boghuma Kabisen Titanji,3.8689867,11.5213344,Yaoundé,Cameroon,478878,1
Bonnie Bassler,41.8755616,-87.6244212,Chicago,United States,2192828,1
Bono,53.3493795,-6.2605593,Dublin,Ireland,1183663,2
Bran Ferren,40.7127281,-74.0060152,New York,United States,1028312,1
Brenda Laurel,39.9622601,-83.0007065,Columbus,United States,382517,1
Brenda Romero,44.694285,-75.486374,City of Ogdensburg,United States,490092,1
Brené Brown,29.4246002,-98.4951405,San Antonio,United States,19578522,2
Brewster Kahle,40.7127281,-74.0060152,New York,United States,445781,1
Brian Cox,56.4605938,-2.97019,Dundee,United Kingdom,1879827,3
Brian Greene,34.1866193,-118.4486675,Los Angeles,United States,3723390,2
Brian Little,54.9738474,-1.6131572,Newcastle upon Tyne,United Kingdom,4235594,1
Bruce Aylward,47.5614705,-52.7126162,St. John's,Canada,684294,2
Bruce Feiler,32.0790074,-81.0921335,Savannah,United States,934762,2
Bruce McCall,44.5014007,-79.7038708,Oro-Medonte,Canada,396905,1
Bruce Schneier,40.7127281,-74.0060152,New York,United States,744089,1
Bunker Roy,23.667122,86.9420671,Asansol,India,3630894,1
Béatrice Coron,45.5662672,5.9203636,Chambéry,France,933319,1
C.K. Williams,40.735657,-74.1723667,Newark,United States,246094,1
Caitlin Doughty,21.48343645,-158.03648372697478,Waipahu,United States,933978,1
Cameron Russell,52.2055314,0.1186637,Cambridge,United Kingdom,19787465,1
Cameron Sinclair,-38.2015815,145.242198,Melbourne,Australia,811299,2
Candy Chang,22.350627,114.1849161,Sha Tin District,China,4922118,1
Carin Bondar,49.2067726,-122.9108818,New Westminster,Canada,2379244,1
Carl Safina,40.6526006,-73.9497211,New York,United States,1285859,2
Carlo Ratti,45.0677551,7.6824892,Turin,Italy,657251,1
Carmen Agra Deedy,23.135305,-82.3589631,Havana,Cuba,672797,1
Carne Ross,51.5307156,-0.4800361493026331,London,United Kingdom,343532,1
Caroline Casey,-37.8142454,144.9631732,Melbourne,Australia,2030154,1
Caroline Paul,40.7127281,-74.0060152,New York,United States,1465808,1
Carolyn Bertozzi,42.3554334,-71.060511,Boston,United States,727807,1
Carolyn Jones,49.2608724,-123.113952,Vancouver,Canada,1079349,1
Carolyn Porco,40.8466508,-73.8785937,New York,United States,1756143,2
Carrie Poppy,-33.8698439,151.2082848,Sydney,Australia,1257858,1
Cary Fowler,35.1460249,-90.0517638,Memphis,United States,679728,1
Cat Laine,40.8466508,-73.8785937,New York,United States,154698,1
Catherine Mohr,-45.8740984,170.5035755,Dunedin,New Zealand,723760,2
Cesar Kuriyama,-12.0621065,-77.0365256,Lima Metropolitan Area,Peru,1666552,1
Charity Tillemann-Dick,39.7392364,-104.984862,Denver,United States,521502,1
Charles Anderson,38.6280278,-90.1910154,St. Louis,United States,553253,1
Charles Fleischer,38.8950368,-77.0365427,Washington D.C,United States,1055904,1
Charles Hazlewood,51.2912247,-0.2326709,Reigate and Banstead,United Kingdom,502832,1
Charles Robertson,53.3493795,-6.2605593,Dublin,Ireland,1204089,1
Chelsea Shields,40.2337289,-111.6587085,Provo,United States,1452861,1
Chimamanda Ngozi Adichie,6.4499833,7.5000007,Enugu,Nigeria,7308397,2
Chinaka Hodge,37.8044557,-122.271356,Oakland,United States,1119309,1
Chip Conley,33.7500378,-117.8704931,Santa Ana,United States,2785058,1
Chip Kidd,40.335345,-75.9279495,Reading,United States,1731531,2
Chris Abani,5.8837902,7.9372068,Afikpo,Nigeria,702781,2
Chris Anderson,51.5074456,-0.1277653,City of Westminster,United Kingdom,1371840,4
Chris Anderson (TED),24.8546842,67.0207055,Karachi,Pakistan,659450,1
Chris Bliss,38.8950368,-77.0365427,Washington D.C,United States,713999,1
Chris Hadfield,42.9743821,-82.403533,Sarnia,Canada,4790701,1
Chris Kluwe,39.9527237,-75.1635262,Philadelphia,United States,1194762,1
Chris Milk,40.7127281,-74.0060152,New York,United States,1151937,2
Christiana Figueres,9.9325427,-84.0795782,San José,Costa Rica,1031398,1
Christien Meindertsma,52.0907006,5.1215634,Utrecht,Netherlands,1157394,1
Christine Sun Kim,33.7500378,-117.8704931,Santa Ana,United States,1242903,1
"Christopher ""moot"" Poole""",40.7127281,-74.0060152,New York,United States,1451649,1
Christopher Bell,41.8755616,-87.6244212,Chicago,United States,1026017,1
Christopher Ryan,51.5122764,-0.1883854,London,United Kingdom,1981978,1
Christopher Soghoian,37.7790262,-122.419906,San Francisco,United States,1132265,3
Claron McFadden,40.7127281,-74.0060152,New York,United States,400082,1
Clay Shirky,38.951883,-92.3337366,Columbia,United States,1250086,5
Clifford Stoll,42.8867166,-78.8783922,Buffalo,United States,2283491,1
Clint Smith,29.9759983,-90.0782127,New Orleans,United States,2856400,2
Colin Grant,51.9464129,-0.2791646,North Hertfordshire,United Kingdom,877106,1
Colin Powell,40.7127281,-74.0060152,New York,United States,1485801,1
Conrad Wolfram,51.7520131,-1.2578499,Oxford,United Kingdom,1499219,1
Courtney E. Martin,38.8339578,-104.825348,Colorado Springs,United States,1179327,2
Craig Venter,40.7596198,-111.886797,Salt Lake City,United States,884051,3
Cristina Domenech,36.7213028,-4.4216366,Málaga,Spain,687808,1
Cynthia Breazeal,35.0841034,-106.650985,Albuquerque,United States,1064574,1
Cynthia Kenyon,41.8755616,-87.6244212,Chicago,United States,847439,1
Dame Ellen MacArthur,53.0834695,-1.5042939,Amber Valley,United Kingdom,1566602,1
Dame Stephanie Shirley,51.5142273,7.4652789,Dortmund,Germany,1919991,1
Dan Ariely,40.7127281,-74.0060152,New York,United States,3147546,5
Dan Barber,40.7127281,-74.0060152,New York,United States,1634356,2
Dan Bricklin,39.9527237,-75.1635262,Philadelphia,United States,992523,1
Dan Buettner,44.9497487,-93.0931028,Saint Paul,United States,3157446,1
Dan Dennett,42.3554334,-71.060511,Boston,United States,2303440,4
Dan Gilbert,42.3315509,-83.0466403,Detroit,United States,7265484,3
Dan Meyer,43.2560802,-79.8728583,Hamilton,Canada,2465179,1
Dan Pallotta,42.4250964,-71.066163,Malden,United States,3047718,2
Daniel Goleman,37.9577016,-121.2907796,Stockton,United States,1604402,1
Daniel H. Cohen,30.4494155,-91.1869659,Baton Rouge,United States,1423637,1
Daniel Kahneman,32.0852997,34.7818064,Tel Aviv-Yafo,Israel,3841631,1
Daniel Levitin,37.7790262,-122.419906,San Francisco,United States,9163813,1
Daniel Libeskind,51.7687323,19.4569911,Łódź,Poland,784642,1
Daniel Pauly,48.8588897,2.3200410217200766,Paris,France,224768,1
Daniel Suarez,42.3875968,-71.0994968,Somerville,United States,1908577,1
Daniel Tammet,51.5402677,0.0793235,London,United Kingdom,1751030,1
Danielle Feinberg,40.0149856,-105.270545,Boulder,United States,2617414,1
Danielle de Niese,-37.8142454,144.9631732,Melbourne,Australia,787092,1
Danny Dorling,51.7520131,-1.2578499,Oxford,United Kingdom,1384978,1
Danny Hillis,39.2908816,-76.610759,Baltimore,United States,755621,3
Daphne Koller,31.7788242,35.2257626,Jerusalem,Israel,2302206,1
Daria van den Bercken,52.0907006,5.1215634,Utrecht,Netherlands,903111,1
Dave Brain,52.0553813,-2.7151735,Hereford,United Kingdom,1311426,1
Dave Eggers,42.3554334,-71.060511,Boston,United States,1357888,1
Dave Isay,41.3082138,-72.9250518,New Haven,United States,1839891,1
David Binder,34.0536909,-118.242766,Los Angeles,United States,674288,1
David Blaine,40.7127281,-74.0060152,New York,United States,15601385,1
David Brooks,43.6534817,-79.3839347,Old Toronto,Canada,1719650,2
David Cameron,51.5232789,-0.155596,London,United Kingdom,656762,1
David Carson,41.9009603,12.464392449999998,Rome,Italy,774492,1
David Christian,26.1223084,-80.1433786,Fort Lauderdale,United States,7481004,1
David Deutsch,32.799313,34.989571715728204,Haifa,Israel,1017899,2
David Eagleman,35.0841034,-106.650985,Albuquerque,United States,1738331,1
David Epstein,40.7127281,-74.0060152,New York,United States,2824676,1
David Gallo,-35.2975906,149.1012676,Canberra,Australia,5066797,3
David Griffin,53.2593422,-1.9100768,High Peak,United Kingdom,1056435,1
David Gruber,49.8349139,18.2820084,Ostrava,Czech Republic,1853424,1
David Hoffman,29.4246002,-98.4951405,San Antonio,United States,616341,2
David Keith,55.861155,-4.2501687,Glasgow,United Kingdom,876658,1
David Kelley,44.5520105,-69.6317121,Waterville,United States,2584802,2
David Lang,34.0536909,-118.242766,Los Angeles,United States,1225960,1
David Logan,41.8755616,-87.6244212,Chicago,United States,1404586,1
David Macaulay,52.802742,-1.629917,East Staffordshire,United Kingdom,700273,1
David Merrill,42.6511674,-73.754968,City of Albany,United States,1765153,1
David Miliband,51.5074456,-0.1277653,City of Westminster,United Kingdom,1088768,1
David Perry,50.362174,8.6428355,Ober-Mörlen,Germany,1084634,1
David Pizarro,-33.0458456,-71.6196749,Valparaíso,Chile,692434,1
David Puttnam,51.6281547,-0.123596,London,United Kingdom,871453,1
David Rothkopf,40.1117174,-88.207301,Urbana,United States,1215662,1
David Steindl-Rast,48.2083537,16.3725042,Vienna,Austria,5893321,1
David Whyte,51.5074456,-0.1277653,City of Westminster,United Kingdom,643011,1
Dawn Landes,38.2542376,-85.759407,Louisville,United States,1160841,1
Dean Ornish,32.7762719,-96.7968559,Dallas,United States,1598126,3
Deb Roy,49.8955367,-97.1384584,Winnipeg,Canada,2475423,1
Deborah Lipstadt,40.7127281,-74.0060152,New York,United States,918385,1
Debra Jarvis,52.6362,-1.1331969,Leicester,United Kingdom,970703,1
Deepika Kurup,42.7656251,-71.4677032,Nashua,United States,958917,1
Deeyah Khan,59.9133301,10.7389701,Oslo,Norway,1195885,1
Denis Dutton,34.0536909,-118.242766,Los Angeles,United States,2012387,1
Dennis Hong,34.0536909,-118.242766,Los Angeles,United States,1313001,2
Devdutt Pattanaik,19.0785451,72.878176,Mumbai,India,1683308,1
Diana Nyad,40.7127281,-74.0060152,New York,United States,2579788,2
Diane Benscoter,40.7127281,-74.0060152,New York,United States,1076279,1
Diane J. Savino,40.7135078,-73.8283132,New York,United States,292395,1
Diane Kelly,53.2293545,-0.5404819,Lincoln,United Kingdom,3886045,1
Dianna Cohen,34.0536909,-118.242766,Los Angeles,United States,688861,1
Didier Sornette,48.8588897,2.3200410217200766,Paris,France,1361404,1
Don Tapscott,43.6534817,-79.3839347,Old Toronto,Canada,1559787,2
Donald Hoffman,29.4246002,-98.4951405,San Antonio,United States,2471075,1
Donald Sadoway,43.6534817,-79.3839347,Old Toronto,Canada,1803069,1
Dong Woo Jang,37.5941315,127.1297917,Guri-si,South Korea,2290464,1
Doris Kearns Goodwin,40.7127281,-74.0060152,New York,United States,522550,1
Dorothy Roberts,41.8755616,-87.6244212,Chicago,United States,1008812,1
Douglas Adams,52.2055314,0.1186637,Cambridge,United Kingdom,473220,1
Drew Curtis,38.0464066,-84.4970393,Lexington,United States,1061687,1
Dustin Yellin,34.0536909,-118.242766,Los Angeles,United States,1671043,1
E.O. Wilson,33.5206824,-86.8024326,Birmingham,United States,1196848,2
Ed Boyden,33.0136764,-96.6925096,Plano,United States,1095839,2
Ed Ulbrich,30.2711286,-97.7436995,Austin,United States,907147,1
Eddi Reader,55.861155,-4.2501687,Glasgow,United Kingdom,471011,2
Edi Rama,41.3281482,19.8184435,Tirana,Albania,595537,1
Eduardo Briceño,9.3148173,-70.6081655,Valera,Venezuela,2031509,1
Eduardo Paes,-6.07982,-49.8921071,Parauapebas,Brazil,834897,1
Eduardo Sáenz de Cabezón,42.4661196,-2.4396676,Logroño,Spain,1610293,1
Edward Burtynsky,43.1579812,-79.2441003,St. Catharines,Canada,727624,2
Edward Snowden,36.2956836,-76.2247697,Elizabeth City,United States,4040280,1
Edwidge Danticat,18.547327,-72.3395928,Port-au-Prince,Haiti,50443,1
Eleni Gabre-Madhin,9.0358287,38.7524127,Addis Ababa,Ethiopia,562457,1
Eli Beer,31.7788242,35.2257626,Jerusalem,Israel,1062701,1
Elif Shafak,48.584614,7.7507127,Strasbourg,France,1763449,1
Elizabeth Gilbert,41.5538091,-73.0438362,Waterbury,United States,8399708,2
Elizabeth Lindsey,21.48343645,-158.03648372697478,Waipahu,United States,439180,1
Elizabeth Loftus,34.0536909,-118.242766,Los Angeles,United States,3338820,1
Ellen 't Hoen,50.8775239,5.981506585454879,Heerlen,Netherlands,389194,1
Elon Musk,-25.7459277,28.1879101,Pretoria,South Africa,5115125,2
Elyn Saks,25.7741728,-80.19362,Miami,United States,3247799,1
Emiliano Salinas,19.4326296,-99.1331785,Mexico City,Mexico,525446,1
Emily Levine,36.1622767,-86.7742984,Nashville-Davidson,United States,2049904,1
Emily Oster,41.3082138,-72.9250518,New Haven,United States,854967,1
Enric Sala,41.9793006,2.8199439,Girona,Spain,316507,1
Enrique Peñalosa,38.8950368,-77.0365427,Washington D.C,United States,871452,1
Eric Lewis,39.9448402,-75.1198911,Camden,United States,544342,2
Eric Liu,53.5462055,-113.491241,Edmonton,Canada,1295838,2
Eric Topol,40.7135078,-73.8283132,New York,United States,710710,1
Eric Whitacre,39.5261206,-119.8126581,Reno,United States,1608579,3
Eric X. Li,31.2323437,121.4691024,Shanghai,China,2449736,1
Erin McKean,35.2272086,-80.8430827,Charlotte,United States,1279346,2
Esta Soler,41.1670412,-73.2048348,Bridgeport,United States,1034678,1
Esther Duflo,48.8588897,2.3200410217200766,Paris,France,876307,1
Esther Perel,51.2211097,4.3997081,Antwerp,Belgium,9371469,2
Ethan Nadelmann,40.7127281,-74.0060152,New York,United States,1593079,1
Ethel,37.7790262,-122.419906,San Francisco,United States,384641,1
Euvin Naidoo,-28.8166236,24.991639,Tokologo Local Municipality,South Africa,335086,1
Eva Zeisel,47.48138955,19.14609412691246,Budapest,Hungary,438972,1
Eve Ensler,40.7127281,-74.0060152,New York,United States,1194995,4
Evgeny Morozov,52.7893039,27.5318168,Salihorsk,Belarus,430276,1
Fabien Cousteau,48.8588897,2.3200410217200766,Paris,France,1215053,1
Fei-Fei Li,39.9057136,116.3912972,Dongcheng District,China,2005189,1
Feisal Abdul Rauf,-0.1665291,35.6736908,Kamara ward,Kenya,433202,1
Francis Collins,38.1495947,-79.072557,Staunton,United States,796884,1
Frank Gehry,43.6534817,-79.3839347,Old Toronto,Canada,790094,2
Frank Warren,52.4796992,-1.9026911,Birmingham,United Kingdom,3055565,1
Frans Lanting,51.9244424,4.47775,Rotterdam,Netherlands,1568263,2
Frans de Waal,51.6889387,5.303116,'s-Hertogenbosch,Netherlands,3578701,1
Franz Freudenthal,-16.4955455,-68.1336229,La Paz,Bolivia,1226441,1
Françoise Mouly,48.8588897,2.3200410217200766,Paris,France,839040,1
Fred Swaniker,5.5571096,-0.2012376,Accra,Ghana,1239635,1
Frederic Kaplan,18.9733536,72.82810491917377,Mumbai,India,1187105,1
Freeman Hrabowski,33.5206824,-86.8024326,Birmingham,United States,911601,1
Gabe Barcia-Colombo,34.0536909,-118.242766,Los Angeles,United States,795097,1
Garik Israelian,40.1777112,44.5126233,Yerevan,Armenia,593547,1
Garrett Lisi,34.0536909,-118.242766,Los Angeles,United States,1491698,1
Garry Kasparov,40.3755885,49.8328009,Baku,Azerbaijan,1079698,1
Gary Greenberg,40.6526006,-73.9497211,New York,United States,1022799,1
Gary Vaynerchuk,53.1449683,29.2281209,Babruysk,Belarus,757791,1
Ge Wang,39.9057136,116.3912972,Dongcheng District,China,1172298,1
Geena Rocero,14.5906346,120.9799964,Manila,Philippines,3133189,1
Geoffrey Canada,40.8506558,-73.8665241,New York,United States,1786965,1
George Monbiot,51.4989948,-0.1991229,London,United Kingdom,887823,1
George Papandreou,44.9497487,-93.0931028,Saint Paul,United States,741720,1
George Smoot,30.2346844,-81.6981513,Jacksonville,United States,1630525,1
George Takei,34.0536909,-118.242766,Los Angeles,United States,2235902,1
Gian Giudice,45.4077172,11.8734455,Padua,Italy,1644420,1
Gill Hicks,-34.9281805,138.5999312,Adelaide,Australia,813426,1
Glenn Greenwald,40.7135078,-73.8283132,New York,United States,1942778,1
Golan Levin,40.7127281,-74.0060152,New York,United States,688727,2
Grace Kim,34.0536909,-118.242766,Los Angeles,United States,1363680,1
Grady Booch,35.2072185,-101.833824,Amarillo,United States,1362265,1
Graham Hill,51.5565973,-0.1784251,London,United Kingdom,2919318,2
Greg Stone,-31.9558933,115.8605855,Perth,Australia,454323,1
Gregory Petsko,38.8950368,-77.0365427,Washington D.C,United States,909508,1
Grégoire Courtine,47.3215806,5.0414701,Dijon,France,926295,1
Guillaume Néry,43.7009358,7.2683912,Nice,France,857839,1
Guy Hoffman,45.4208777,-75.6901106,(Old) Ottawa,Canada,2931366,1
Halla Tómasdóttir,64.145981,-21.9422367,Reykjavik,Iceland,733303,2
Hanna Rosin,30.8124247,34.8594762,Ramat Negev Regional Council,Israel,851862,1
Hans Rosling,59.8586126,17.6387436,Uppsala,Sweden,3063014,9
Harry Baker,51.4634854,0.1480552,London,United Kingdom,1369263,1
Harsha Bhogle,17.360589,78.4740613,Hyderabad,India,567000,1
Hawa Abdi + Deqo Mohamed,2.0349312,45.3419183,Mogadishu,Somalia,348647,1
Hector Ruiz,28.7041725,-100.5148362,Piedras Negras,Mexico,315244,1
Helen Czerski,53.4794892,-2.2451148,Manchester,United Kingdom,656791,1
Henry Markram,-28.8166236,24.991639,Tokologo Local Municipality,South Africa,1180127,1
Herbie Hancock,41.8755616,-87.6244212,Chicago,United States,652315,1
His Holiness Pope Francis,-34.6037,-58.3816,Buenos Aires,Argentina,2679881,1
Hod Lipson,32.799313,34.989571715728204,Haifa,Israel,1212346,1
Holly Morris,41.8755616,-87.6244212,Chicago,United States,1108528,1
Honor Harger,-45.8740984,170.5035755,Dunedin,New Zealand,909194,1
Howard Rheingold,33.4484367,-112.074141,Phoenix,United States,931001,1
Hugh Evans,-37.8142454,144.9631732,Melbourne,Australia,1360404,1
Hugh Herr,40.08067,-76.2411283,East Lampeter Township,United States,7520736,1
Ian Bremmer,51.4875167,-0.1687007,London,United Kingdom,851675,1
Ilona Szabó de Carvalho,-22.30616605,-42.4934183305119,New Fribourg,Brazil,1135382,1
Imogen Heap,51.5746268,0.1822306,London,United Kingdom,883282,1
